CP|1 jump|0.5566|4.0000|-13.0132
CP|2 jump|-7.8139|4.0000|-22.9135
CP|3 jump|-10.8123|4.0000|-36.2508
CP|4 wrap|-5.5659|4.0000|-43.7947
CP|5 wrap|-7.3784|8.0000|-51.0354
CP|6 jump|-16.4901|11.0000|-50.5955
CP|7 ladderflick|-25.6008|12.5224|-52.8880
CP|8 ladderflick|-25.5870|23.5068|-53.0192
CP|9 wrap|-37.3973|21.0000|-53.2755
CP|10 jump|-44.0158|20.9990|-54.3485
CP|11 jump|-48.2922|21.0000|-62.5951
CP|12 wraparound|-51.2222|20.9984|-72.8012
CP|13 jump|-51.3891|21.0000|-82.5679
CP|14 presicion jump|-44.2619|21.0000|-92.8826
CP|15 laddeflick|-40.1458|22.4644|-100.2359
CP|16 ladderjump|-35.3342|12.4891|-114.0686
CP|17 ladderjump|-39.1024|11.1059|-121.5849
CP|18 wrap|-38.9768|16.0000|-129.8141
CP|19 wrap|-29.6073|16.0000|-133.6239
CP|20 wrap|-19.6389|16.0000|-126.9448
CP|21 wraparound|-7.5469|16.0000|-127.5589
CP|22 jump|3.4090|16.0000|-125.2616
CP|23 wraparound|7.6328|16.0000|-117.2710
CP|24 jump|3.5002|16.0000|-108.1444
CP|25 ladderflick|0.0446|12.5316|-94.7785
CP|26 ladderflick|0.0617|23.5444|-94.7601
CP|27 jadderflick|7.6249|22.4352|-85.5874
CP|28 winpad|17.4440|20.0000|-75.4603
